Timestamp,Source,Level,Line
16:53:17.6980,Advertising Interval,Normal,"42.42 ms"
16:53:17.7470,RSSI,Normal,"-70 dBm"
16:53:17.7470,Advertising Interval,Normal,"49.19 ms"
16:53:17.7910,RSSI,Normal,"-64 dBm"
16:53:17.7910,Advertising Interval,Normal,"44.14 ms"
16:53:17.8790,RSSI,Normal,"-73 dBm"
16:53:17.8790,Advertising Interval,Normal,"88.06 ms"
16:53:17.8790,RSSI,Normal,"-73 dBm"
16:53:17.8790,Advertising Interval,Normal,"87.92 ms"
16:53:18.0060,RSSI,Normal,"-65 dBm"
16:53:18.0060,Advertising Interval,Normal,"126.82 ms"
16:53:18.0490,RSSI,Normal,"-74 dBm"
16:53:18.0490,Advertising Interval,Normal,"43.45 ms"
16:53:18.0940,RSSI,Normal,"-69 dBm"
16:53:18.0940,Advertising Interval,Normal,"44.17 ms"
16:53:18.1360,RSSI,Normal,"-64 dBm"
16:53:18.1360,Advertising Interval,Normal,"42.86 ms"
16:53:18.2150,RSSI,Normal,"-70 dBm"
16:53:18.2150,Advertising Interval,Normal,"78.86 ms"
16:53:18.2600,RSSI,Normal,"-64 dBm"
16:53:18.2600,Advertising Interval,Normal,"44.83 ms"
16:53:18.3020,RSSI,Normal,"-75 dBm"
16:53:18.3020,Advertising Interval,Normal,"41.85 ms"
16:53:18.3460,RSSI,Normal,"-71 dBm"
16:53:18.3460,Advertising Interval,Normal,"43.81 ms"
16:53:18.3960,RSSI,Normal,"-63 dBm"
16:53:18.3960,Advertising Interval,Normal,"50.25 ms"
16:53:18.5250,RSSI,Normal,"-77 dBm"
16:53:18.5250,Advertising Interval,Normal,"128.59 ms"
16:53:18.5730,RSSI,Normal,"-70 dBm"
16:53:18.5730,Advertising Interval,Normal,"48.10 ms"
16:53:18.6610,RSSI,Normal,"-74 dBm"
16:53:18.6610,Advertising Interval,Normal,"88.55 ms"
16:53:18.7070,RSSI,Normal,"-70 dBm"
16:53:18.7070,Advertising Interval,Normal,"45.76 ms"
16:53:18.7530,RSSI,Normal,"-64 dBm"
16:53:18.7530,Advertising Interval,Normal,"45.36 ms"
16:53:18.9310,RSSI,Normal,"-72 dBm"
16:53:18.9310,Advertising Interval,Normal,"178.40 ms"
16:53:18.9790,RSSI,Normal,"-66 dBm"
16:53:18.9790,Advertising Interval,Normal,"48.17 ms"
16:53:19.0190,RSSI,Normal,"-77 dBm"
16:53:19.0190,Advertising Interval,Normal,"40.25 ms"
16:53:19.0610,RSSI,Normal,"-70 dBm"
16:53:19.0610,Advertising Interval,Normal,"41.73 ms"
